ID	Family	Species_Name	Lineage	SRA_RunIDs
Faes	Polygonaceae	Fagopyrum_esculentum	A	DRR001234,DRR001235,DRR001237,DRR008469,DRR008471,DRR008473,DRR008474,DRR023025,DRR023031,DRR023032,DRR023033,DRR046993,SRR10695743,SRR10695744,SRR10695745,SRR10695746,SRR10695747,SRR10695748,SRR10695749,SRR10695750,SRR10695751,SRR10695752,SRR2731953,SRR3250237,SRR388519,SRR388520,SRR388521,SRR388522,SRR388523,SRR392088,SRR392089,SRR392090,SRR392091,SRR392092,SRR392093,SRR392094,SRR5055099,SRR5494828,SRR5494831,SRR5852705,SRR6202001,SRR6202002,SRR6202003,SRR6202004,SRR6202005,SRR6202006,SRR7758388,SRR7758389,SRR7758390,SRR7758391,SRR7758392,SRR7758393,SRR7758394,SRR7758395,SRR7758396,SRR7758397,SRR7758398,SRR7758399,SRR7758400,SRR7758401,SRR7758402,SRR7758403,SRR7758404,SRR7758405,SRR7758406,SRR7758407,SRR7758408,SRR7758409,SRR7758410,SRR7758411,SRR7758412,SRR7758413,SRR7758414,SRR7758415,SRR7758416,SRR7758417,SRR7758418,SRR7758419,SRR7758420,SRR7758421,SRR7758422,SRR7758423,SRR7758424,SRR7758425,SRR7758426,SRR7758427,SRR7758428,SRR7758429,SRR7758430,SRR7758431,SRR7758432,SRR7758433,SRR7758434,SRR7758435,SRR7758436,SRR7758437,SRR7758438,SRR7758439,SRR7758440,SRR7758441,SRR7758442,SRR7758443,SRR7758444,SRR7758445,SRR7758446,SRR7758447,SRR7758448,SRR7758449,SRR7758450,SRR7758451,SRR7758452,SRR7758453,SRR7758454,SRR7758455,SRR7758456,SRR7758457,SRR7758458,SRR7758459,SRR7758460,SRR7758461,SRR7758462,SRR7758463,SRR7758464,SRR7758465,SRR7758466,SRR7758467,SRR7758468,SRR7758469,SRR7758470,SRR7758471,SRR7758472,SRR7758473,SRR7758474,SRR7758475,SRR7758476,SRR7758477,SRR7758478,SRR7758479,SRR8205656,SRR8205657,SRR8205658,SRR8205659,SRR8205660,SRR8205661,SRR8205662,SRR8205663,SRR8295153,SRR8512524,SRR8512525,SRR8512526,SRR8512527,SRR8512528,SRR8512529,SRR8512530,SRR8512531,SRR8512532,SRR8512533,SRR8512534,SRR8512535,SRR9721884,SRR9721885,SRR9721886,SRR9721887,SRR9721888,SRR9721889,SRR9721890,SRR9721891,SRR9721892,SRR9721893,SRR9721894,SRR9721895,SRR9721896,SRR9721897,SRR9721898,SRR9721899,SRR9721900,SRR9721901,SRR9721902,SRR9721903,SRR9721904,SRR9721905,SRR9721906,SRR9721907
Fata	Polygonaceae	Fagopyrum_cymosum	A	DRR008472,SRR9039466
Tear12	Cactaceae	Tephrocactus_bonnieae	B4	SRR7905863
MJM1162	Polygonaceae	Persicaria_virginiana	A	SRR6435320,SRR6787518
AAXJ	Amaranthaceae	Atriplex_lentiformis	B2	SRR1041720,SRR1041721,SRR1041722,SRR1041723,SRR1041724,SRR1041725,SRR1041726,SRR1041727
OxypeSFB	Polygonaceae	Oxytheca_perfoliata	A	SRR6435322
Amhy	Amaranthaceae	Amaranthus_tuberculatus	B2	SRR6705590,SRR6705591,SRR6705592,SRR6705593,SRR6705594,SRR6705595,SRR6705596,SRR6705597,SRR6705598,SRR6705599,SRR6705600,SRR6705601,SRR6705602,SRR6705603,SRR6705604,SRR6705605,SRR6705606,SRR6705607,SRR6705608,SRR6705609,SRR6705610,SRR6705611,SRR6705612,SRR6705613,SRR6705614,SRR6705615,SRR6705616,SRR6705617,SRR6705618,SRR6705619,SRR6705620,SRR6705621,SRR6705622,SRR6705623,SRR6705624,SRR6705625,SRR6705626,SRR6705627,SRR6705628,SRR6705629,SRR6705630,SRR6705631,SRR6705632,SRR6705633,SRR6705634,SRR6705635,SRR6705636,SRR6705637
Sufr	Amaranthaceae	Suaeda_fruticosa	B2	SRR1946790,SRR1946833,SRR1946834,SRR1947647,SRR1947648,SRR1947649,SRR1947655,SRR1947656,SRR1947661,SRR1947683,SRR1947686,SRR1947688
SuecaSFB	Molluginaceae	Suessenguthiella_caespitosa	A	SRR7905875
MJM1769	Polygonaceae	Eriogonum_rotundifolium	A	SRR6435329
DBG19740229011	Didiereaceae	Alluaudia_humbertii	B4	SRR7905832
MJM2445	Amaranthaceae	Guilleminea_densa_var_aggregata	B2	SRR6787501
MJM1789	Talinaceae	Talinum_paniculatum	B4	SRR6787484
WQUF	Nepenthaceae	Nepenthes_alata_Nepenthes_ventricosa	A	SRR8944289,SRR8944290,SRR8944291,SRR8944292,SRR8944293,SRR8944294,SRR8944295,SRR8944296,SRR8944297,SRR8944298,SRR8944299,SRR8944300
Maco1013	Cactaceae	Maihueniopsis_conoidea	B4	SRR7905848
RuprSFB	Polygonaceae	Ruprechtia_salicifolia	A	SRR4450414
MJM2673	Nyctaginaceae	Okenia_hypogaea	B3	SRR6435296
Fata	Polygonaceae	Fagopyrum_dibotrys	A	SRR3133402
Saeu	Amaranthaceae	Salicornia_neei	B2	SRR9694999
WGET	Amaranthaceae	Bassia_scoparia	B2	ERR364385,SRR1195533,SRR1198330,SRR1198332,SRR1198334,SRR1198348,SRR1198350,SRR6165244,SRR6165245,SRR6165246,SRR6165247,SRR6165248,SRR6165249,SRR6165250,SRR6165251,SRR6165252,SRR6165253,SRR6165254,SRR6165255,SRR6165256,SRR6165257,SRR6165258,SRR6165259,SRR6227487,SRR6227490,SRR6227491,SRR6227493,SRR6227495,SRR6227496
MJM1170	Polygonaceae	Muehlenbeckia_platyclada	A	SRR6435330,SRR6787512
Oxru	Amaranthaceae	Oxybasis_rubra	B2	SRR2913047,SRR2913184,SRR2937428,SRR2937430
WOBD	Plumbaginaceae	Limonium_bicolor	A	SRR1033681,SRR1033682,SRR1033683,SRR1033684,SRR1033685,SRR1033686,SRR1033687,SRR1033688,SRR1033689,SRR1033690,SRR1185386,SRR1185387,SRR1185388,SRR1185389
MJM3203	Nyctaginaceae	Abronia_umbellata	B3	SRR6435337
AAXJ	Amaranthaceae	Atriplex_prostrata	B2	ERR2040210,ERR2040211
EosaxSFB	Amaranthaceae	Eokochia_saxicola	B2	SRR6435348
MJM2760	Nyctaginaceae	Boerhavia_ciliata	B3	SRR6435336
LimaeSFB	Limeaceae	Limeum_aethiopicum	A	SRR7905841
FYSJ	Polygonaceae	Fallopia_convolvulus	A	ERR2040259
Sufr	Amaranthaceae	Suaeda_glauca	B2	SRR2416213,SRR2416214,SRR2416232,SRR2416233,SRR2416234,SRR2416236
Asmy08	Cactaceae	Astrophytum_myriostigma	B4	SRR7905836
GCYL	Portulacaceae	Portulaca_suffrutescens	B4	ERR2040270
GIWN	Sarcobataceae	Sarcobatus_vermiculatus	B3	ERR2040272,SRR6435321,SRR6787477
Cham	Amaranthaceae	Chenopodium_amaranticolor	B2	SRR503600,SRR503601,SRR503602,SRR503603,SRR503604,SRR503605
ScgloSFB	Caryophyllaceae	Schiedea_pentandra	A	SRR7866834
MJM2938	Cactaceae	Rhipsalis_baccifera	B4	SRR7905851
MJM1665	Amaranthaceae	Froelichia_floridana	B2	SRR1979685
